Organization,Type,Contact Name,Email,Notes
WFAA (ABC 8),TV News,News Desk,newsdesk@wfaa.com,Dallas ABC affiliate - strong local coverage
NBC 5 Dallas,TV News,Assignment Desk,assignment.desk@nbcuni.com,KXAS - NBC affiliate
CBS 11 Dallas,TV News,News Desk,news@ktvt.com,KTVT - covers DFW education stories
Fox 4 Dallas,TV News,News Desk,kdfw@foxtv.com,KDFW - Fox affiliate
KERA (NPR),Public Radio,News Tips,tips@kera.org,NPR affiliate - excellent education coverage
Dallas Morning News,Newspaper,Metro Desk,metro@dallasnews.com,Largest Dallas newspaper
Dallas Morning News,Newspaper,Eva-Marie Ayala (Education),eayala@dallasnews.com,Education Lab editor - covers K-12
Fort Worth Star-Telegram,Newspaper,Newsroom,newsroom@star-telegram.com,Covers Tarrant/Denton counties
Denton Record-Chronicle,Newspaper,News Desk,drc@dentonrc.com,Primary Denton County newspaper
Texas Tribune,Online News,Community/Tips,community@texastribune.org,Statewide education coverage
Spectrum News,Cable News,DFW Desk,DFWNewsDesk@Charter.com,Local cable news
CW33 Dallas,TV News,News Tips,news@cw33.com,Alternative TV coverage
Univision 23,TV News (Spanish),News Desk,23@univision.net,Spanish-language coverage
Telemundo Dallas,TV News (Spanish),News Desk,noticierodallas@telemundo.com,Spanish-language coverage
